row_id,user_id,video_id,score
0,0,3978,0
1,0,160,0.761905
2,0,6946,0.738095
3,1,6328,0
4,1,5133,1
5,2,5809,0.428571
6,2,1200,0.895692
7,2,3913,0.651927
8,2,6893,0.646259
9,2,4462,0.263039
10,2,324,0.597506
11,2,5894,0.225624
12,2,1600,0.901361
13,3,3159,0.833333
14,3,1103,0.246032
15,4,5433,0
16,5,3921,0.253968
17,7,1323,0.365079
18,7,1749,0.875661
19,7,7360,0
20,7,4532,0.267196
21,7,2303,0.960317
22,7,2313,0.693122
23,7,4231,0.634921
24,10,6280,0
25,11,4732,1
26,13,5507,0.916667
27,13,6778,0.0803571
28,13,2790,0.958333
29,15,5047,0.870536
30,15,559,0.997024
31,15,6252,0.0654762
32,15,1911,0
33,15,5809,0.488095
34,15,31,0.269345
35,16,4888,0.32381
36,16,5244,0.0261905
37,16,6177,0.559524
38,16,239,0.8
39,16,4771,0.269048
40,16,3098,1
41,22,6979,0.0922619
42,22,6441,0.71131
43,22,1015,1
44,22,3334,0.383929
45,24,2208,0.685185
46,25,2171,0.333333
47,25,1600,0.940476
48,26,3577,0.0238095
49,26,7110,0.571429
50,27,909,0.504762
51,27,5199,0.534524
52,27,2923,0.283333
53,27,1741,0.641667
54,27,2873,0.0321429
55,27,3210,0.338095
56,27,5771,0.783333
57,27,305,0.677381
58,27,2795,0.258333
59,27,3535,0.761905
60,28,664,0
61,29,2166,0.992063
62,29,5371,0.882937
63,29,722,0.00793651
64,29,6942,0.678571
65,29,2331,0.25
66,29,2399,0.434524
67,30,2684,0
68,30,4962,0.666667
69,31,4734,0
70,31,212,0.111111
71,32,197,0.123016
72,33,5513,0.271429
73,33,2594,0.097619
74,33,5928,0.366667
75,33,5928,0.266667
76,33,3418,0.6
77,34,6093,0.761905
78,34,5374,0.607143
79,35,5286,1
80,35,6478,0
81,36,4086,0.00793651
82,36,6794,0.734127
83,36,1868,0.575397
84,36,7058,0.72619
85,37,368,0.357143
86,38,4955,0.634921
87,38,7172,0.0767196
88,38,5868,0.444444
89,38,1744,0.690476
90,38,7172,0.0343915
91,39,1052,0.166667
92,40,7172,0
93,40,1868,0.988095
94,45,278,1
95,45,668,0.436508
96,46,3032,0.896825
97,46,6921,0.68254
98,46,2041,0.5
99,46,5928,0.166667
100,46,5928,0
101,48,143,0.666667
102,49,3232,0.75
103,50,6932,1
104,50,3654,0
105,52,1868,1
106,53,3155,0.806122
107,53,3738,0.428571
108,53,4771,0.0918367
109,53,3627,1
110,54,7233,0.681548
111,54,5809,0.119048
112,54,1419,0.610119
113,54,1538,0.369048
114,55,6031,0
115,57,4672,0.619048
116,57,7160,0.452381
117,57,3483,0
118,58,1755,0.283069
119,58,6666,0.275132
120,58,1842,0.925926
121,58,5289,0.835979
122,58,3831,0.597884
123,58,2041,0.330688
124,58,5107,0
125,58,1725,0.251323
126,61,1478,0.912698
127,62,2452,0.205357
128,62,4650,0.815476
129,62,6149,0.526786
130,62,4955,0.863095
131,62,1280,0
132,62,4906,0.375
133,63,6715,0
134,63,605,0.72619
135,63,3273,0.461039
136,63,1395,0.53355
137,63,5392,0.450216
138,63,6528,0.25974
139,63,2949,0.45671
140,63,6298,0.681818
141,63,3239,0.340909
142,64,5513,0.325397
143,64,6319,0.396825
144,64,6767,0.200577
145,64,86,0.278499
146,64,3984,0.526696
147,64,1964,0.607504
148,64,145,0.974026
149,64,4661,0.756133
150,64,5137,0.553391
151,64,4715,0.616162
152,64,1481,0
153,64,256,0.339105
154,64,3159,0.439394
155,64,6888,0.7886
156,64,5723,0.221501
157,65,4927,0.415751
158,65,1566,0.153846
159,65,5665,0.613553
160,65,2171,0.452381
161,65,1717,0.489011
162,65,6987,0.230769
163,65,2631,0.869963
164,65,6774,0.979853
165,66,4673,0.333333
166,67,5678,1
167,68,3588,0.605442
168,68,5474,0.180272
169,68,6209,0.838435
170,68,4055,0.311224
171,68,5481,0.911565
172,68,1419,0.719388
173,69,3508,0.960317
174,69,7099,0
175,70,6510,0.394558
176,70,3844,0.969388
177,70,2171,0.142857
178,71,1068,0.849206
179,71,232,0.674603
180,73,828,0.294643
181,73,1886,0.695685
182,73,1744,0.977679
183,73,2464,0.274554
184,73,1702,0.642113
185,73,5374,0.647321
186,73,7181,0.894345
187,73,2208,0.484375
188,73,2715,0.395089
189,73,3102,0.148065
190,73,2303,0.768601
191,73,7370,0.28125
192,73,2923,0.444196
193,73,2941,0.112351
194,73,119,0.861607
195,73,6364,0.529762
196,73,1487,0.869792
197,73,190,0.535714
198,73,2527,0.758929
199,73,4946,0.388393
200,73,1976,0.732887
201,73,48,0.354167
202,73,792,0.688244
203,73,1080,0.140625
204,73,747,0.165179
205,75,5494,0.190476
206,75,2740,0
207,76,4275,0.567766
208,76,5204,0.549451
209,76,534,0.373626
210,76,2681,0.496337
211,76,1402,0.494505
212,77,3238,0.5553
